epoch,train_loss,val_loss
0,,3.7791714668273926
0,0.9056062698364258,3.955073595046997
1,0.9979612827301025,4.070039749145508
2,0.5379036664962769,3.949338912963867
3,0.31852415204048157,4.032223701477051
4,0.38332170248031616,4.124927520751953
5,0.28947171568870544,4.064995765686035
6,0.23206274211406708,4.071331977844238
7,0.2134837806224823,4.124843597412109
8,0.20105420053005219,3.988460063934326
9,0.1890806406736374,3.8375473022460938
10,0.16442318260669708,3.952875852584839
11,0.17827272415161133,3.9835562705993652
12,0.16636842489242554,3.6862826347351074
13,0.12608829140663147,3.630298376083374
14,0.1237110048532486,3.677276611328125
15,0.11357975751161575,3.7459471225738525
16,0.10137000679969788,3.7700366973876953
17,0.10769300162792206,3.682649612426758
18,0.1077534407377243,3.777770757675171
19,0.09555988758802414,4.063758373260498
